tgl_inputer,kd_faktur,kd_rute,kd_customer,kd_barang,qty,satuan,no_lot,tgl_exp,upload_sts,data_sts,barang_sts,create_at
25/3/2025,B25003884,JLS,INDR01,QTIMU29,20,Pack,271032519,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003885,MLG,TANI146,QPUPU11,1,Zak,1240930,1/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003885,MLG,TANI146,QEMAP03,20,Btl,20220319,1/1/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003885,MLG,TANI146,QEMAP08,15,Btl,20240302,1/11/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003886,BWI-2,CAHA01,QJAGU70,60,Pack,186DKMAFDGEC031,13/11/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003887,MD-1,BERK56,QJAGU13,6000,Pack,20311699,4/2/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003888,JLS,TANI03,QTIMU29,120,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003889,JBR-1,BIMA04,QDURU02,20,Pack,20230102,1/1/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003890,JUBS,MAHK01,QTIMU29,50,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003891,JUBS,VARI02,QTIMU29,50,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003892,KD-1,SUMB59,QTIMU29,120,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003893,BWI-2,EKAJ01,QTIMU29,35,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003894,BWI-2,EKAJ01,QTIMU29,35,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003895,BWI-2,MITR09,QTIMU29,30,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003896,JUBS,SETI01,QTIMU29,40,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003897,BWI-2,UTAM01,QTIMU29,50,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003898,BWI-2,DINO01,QTIMU29,30,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003899,KD-1,PUSA08,QMOSP02,20,Btl,4221DD4331,1/10/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003899,KD-1,PUSA08,QTALI03,2,Zak,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003900,JLS,GHAN01,QSTAR01,11,Gal,102090522,1/5/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003900,JLS,GHAN01,QSTAR02,220,Btl,102090511,1/12/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003901,JBR-1,BIMA04,QCAUL06,3,Pack,782408,1/8/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003902,BWI-1,LAYA02,QABAC04,40,Btl,15122024,1/12/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003902,BWI-1,LAYA02,QBAME04,50,Btl,26113401,1/2/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003902,BWI-1,LAYA02,QBONG02,40,Btl,240919,1/9/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003903,"B Agronomis",ARIF09,QINTE02,109,Btl,22040900500,1/4/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003904,BWI-1,MUJA01,QJAGU78,60,Pack,9CFB013309,1/8/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003905,JBR-1,BIMA04,QGIBG03,80,Pack,2501001,1/1/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003906,JUBS,TANI235,QSAGR03,20,Btl,231023,1/10/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003907,BWI-1,LANG01,QTUNT03,80,Btl,50306033,1/3/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003908,BWI-2,SARA01,QKANG07,20,Pack,9243,1/3/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003909,KD-1,SUMB189,QROTR01,20,Btl,81083,1/6/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003910,MLG,NAYU01,QEMAC04,10,Btl,15122024,1/12/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003910,MLG,NAYU01,QAGRO02,450,Btl,25GAT0211,1/2/2030,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003911,MLG,JOKO12,QFUTA22,50,Btl,22213313,1/2/2028,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003911,MLG,JOKO12,QGRAN04,40,Pack,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003912,PROB,RUDI02,QGAME01,300,Btl,2021SM1018,1/10/2026,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003913,KD-2,INTI02,QAGUS02,400,Btl,ADV273E055,1/10/2027,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003914,BWI-1,BERK08,QSTAR05,44,Btl,102090505,1/8/2028,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003915,MLG,SUMB183,QPAPA01,100,Btl,2403181006,1/3/2029,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003916,MLG,SUMB183,QTIMU29,120,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003917,JUBS,RISK02,QKRES01,250,Pack,50214008,1/2/2030,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003918,JUBS,SUMB96,QMETS01,200,Pack,060192,1/8/2026,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003919,PROB,SUMB23,QBAME04,50,Btl,26113401,1/2/2028,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003919,PROB,SUMB23,QBAME03,40,Btl,23123401,1/3/2028,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003919,PROB,SUMB23,QSARU02,13,Pcs,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003920,JLS,WUKI01,QPLEN02,20,Pack,SRG4FW1103,1/6/2026,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003920,JLS,WUKI01,QMETS01,200,Pack,060192,1/8/2026,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003921,JLS,WUKI01,QJAGU64,40,Pack,1240622,1/12/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000239,SBY,FARM02,QMUTU02,1,Pack,2023ES1202,1/4/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000239,SBY,FARM02,QPACL01,3,Pack,11224,1/12/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000239,SBY,FARM02,QSPRA40,1,Pcs,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000240,"B Agronomis",KARI09,QJAGU76,60,Pack,MO1CB030,9/5/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000241,"B Agronomis",KARI09,QQIUV11,18,Pcs,511112020,1/7/2023,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000241,"B Agronomis",KARI09,QQIUV03,18,Pack,510112021,1/10/2024,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000241,"B Agronomis",KARI09,QQIUV05,18,Pack,9102021,1/10/2024,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000241,"B Agronomis",KARI09,QASSO02,10,Btl,2002001,1/2/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000241,"B Agronomis",KARI09,QASSO02,18,Btl,2002001,1/2/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000241,"B Agronomis",KARI09,QPIRA01,5,Btl,230425,1/7/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000242,JUBS,NNBA01,QAMPA01,1,Btl,2407241005,1/7/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000243,JUBS,NNBU01,QANTR03,1,Pack,PI21001726,1/1/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000243,JUBS,NNBU01,QKONS05,5,Btl,23033003,1/2/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000243,JUBS,NNBU01,QPINA11,2,Btl,I040423,1/4/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000243,JUBS,NNBU01,QPINA10,5,Btl,I080224,1/2/2029,1,1,1,"2025-03-25 19:57:48"
26/3/2025,C25000244,SBY,FARM02,QBASF03,2,Btl,2230002,1/5/2029,1,1,1,"2025-03-25 19:57:48"
26/3/2025,C25000244,SBY,FARM02,QORCA01,2,Btl,1.01E+11,1/11/2029,1,1,1,"2025-03-25 19:57:48"
26/3/2025,C25000245,"B Agronomis",RAKH01,QANVI02,120,Btl,JAK4H1472X,1/8/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004716,BWI-1,SARI08,QQIUM07,10,Btl,20250123,1/1/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004716,BWI-1,SARI08,QQIUM06,40,Btl,20250207,1/2/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004717,BWI-3,BIMO01,QKUPR02,80,Btl,2503006,1/3/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004717,BWI-3,BIMO01,QKUPR01,20,Btl,2503007,1/3/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004718,KD-1,SUMB50,QBION01,1500,Pack,CBT3JWP085,1/10/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004719,KD-1,ANUG01,QBION01,200,Pack,CBT3JWP085,1/10/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004720,BWI-1,LANG01,QBION01,300,Pack,CBT3JWP085,1/10/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004721,MD-2,NUAN01,QCURA02,200,Btl,JAK5C17020,1/3/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004722,BWI-2,DINO01,QSPRA15,6,Pcs,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004723,BWI-2,EKAJ01,QBION01,100,Pack,CBT3JWP085,1/10/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004724,BWI-2,EKAJ01,QBION01,200,Pack,CBT3JWP085,1/10/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004725,BWI-2,ANGK01,QBION01,1200,Pack,CBT3JWP085,1/10/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004725,BWI-2,ANGK01,QBION01,300,Pack,CBT3JWP086,1/10/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004726,KD-2,INTI02,QREGE03,400,Btl,2470Q11603,1/11/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004727,KD-2,SURY36,QZAPA01,20,Zak,10102024,1/10/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004728,BWI-1,PUTR06,QAGRO02,450,Btl,25GAT0211,1/2/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004729,JUBS,SUMB14,QJAGU64,5,Pack,3240496,1/11/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004730,KD-2,SURY36,QPADI23,8,Pack,45,15/4/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004731,KD-2,AHMA12,QKUBI21,60,Pack,103426913,1/11/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004731,KD-2,AHMA12,QKUBI21,30,Pack,104665868,1/10/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004732,BWI-1,MITR16,QJAGU92,100,Pack,3101HBS18,10/10/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004732,BWI-1,MITR16,QJAGU72,60,Pack,250220BF01,10/2/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004733,MD-1,RIZK05,QROUN01,1200,Btl,502010,1/2/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004734,MLG,JAYA23,QGAND02,1224,Pack,BN0536,1/2/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004735,MD-2,JAGO02,QMKP01,400,Pack,0,1/2/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004736,KD-2,RIDA01,QGLUF03,20,Btl,222020002,1/11/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004737,P-1,HIKM01,QRICE04,120,Btl,PV00001465,1/10/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004738,BWI-1,LANG03,QPAPA01,40,Btl,2404251008,1/4/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004738,BWI-1,LANG03,QMAES02,20,Btl,20250125,1/1/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004739,JLS,KOKO01,QGAND02,48,Pack,BN0536,1/2/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004739,JLS,KOKO01,QSPON03,12,Btl,5016DD5042,1/12/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004739,JLS,KOKO01,QSPON02,20,Btl,0812EE0851,1/2/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004739,JLS,KOKO01,QMETI02,80,Pack,56887,1/11/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004739,JLS,KOKO01,QMETI07,40,Pack,56913,1/1/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004740,KD-1,MULU01,QABEN02,40,Btl,ADV347E055,1/12/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004741,KD-2,RAHA06,QMANO01,200,Pack,0,1/3/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004742,KD-1,FAJA24,QPOWE01,20,Btl,0,1/10/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004743,KD-1,FAJA24,QCAUL06,20,Pack,782408,1/8/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004744,MLG,TANI259,QSPRA15,5,Pcs,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004745,BWI-2,BINT08,QAMEG01,20,Btl,2.41E+11,1/9/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004746,BWI-3,MUNA01,QBAST03,60,Btl,25RFS0632,1/2/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004747,SBY,NUSA05,QBAST03,600,Btl,25RFS0632,1/2/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004748,KD-1,ABIY01,QBAST03,180,Btl,25RFS0632,1/2/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004749,KD-1,ROYM01,QKARI03,100,Pack,16123401,1/3/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004749,KD-1,ROYM01,QKARI01,200,Pack,16123401,1/3/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004750,MD-2,NUAN01,QALIK03,100,Btl,JAK4I2E033,1/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004750,MD-2,NUAN01,QREGE03,500,Btl,2470Q12602,1/11/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004750,MD-2,NUAN01,QREGE03,300,Btl,2470Q11603,1/11/2026,1,1,1,"2025-03-25 19:57:48"
