tgl_inputer,kd_faktur,kd_rute,kd_customer,kd_barang,qty,satuan,no_lot,tgl_exp,upload_sts,data_sts,barang_sts,create_at
27/5/2025,D25007848,BLI-2,NADI01,QPETR02,400,Pack,48120421,1/12/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007848,BLI-2,NADI01,QBRAP01,50,Btl,140325F,1/3/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007848,BLI-2,NADI01,QMIPC02,500,Pack,49041615,1/4/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007849,BLI-2,LABA01,QPAKE13,36,Btl,0,1/11/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007850,JUBS,FAST07,QNATI03,40,Pack,PI23000892,1/4/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007850,JUBS,FAST07,QHEXA02,40,Btl,25020610,1/1/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007851,JUBS,FAST07,QJAGU44,100,Pack,250411AF01,1/1/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007853,BWI-3,BIMO02,QCURA03,50,Btl,JAK5D14039,1/4/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007854,BWI-3,BIMO02,QJAGU29,60,Pack,20228312,18/2/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007855,JLS,TANI69,QPETR02,200,Pack,48120421,1/12/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007856,JLS,TANI30,QABOJ01,100,Pack,ADV2340220125ST,1/1/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007856,JLS,TANI30,QABOJ02,200,Pack,ADV2550070325SI,1/3/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007857,BWI-2,RIMB02,QZENP03,48,Btl,1910103,1/6/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007858,JLS,HASI04,QJAGU81,80,Pack,3250865,1/1/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007859,JLS,TANI79,QMETS01,200,Pack,060254,1/12/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007859,JLS,TANI79,QACRO03,120,Pack,2405Q08001,1/1/2027,1,1,1,"2025-05-27 12:00:06"
