tgl_transaksi,kd_faktur_lpb,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
1/12/2025,25000848B,"Jagung Bisi 2 20 X 1 kg",13/11/2026,6000,1152018347,01/12/2025,1
1/12/2025,25000849B,"Blewah Blaster F1 12 X 15 X 15 gr",26/5/2027,900,SJP25120007,01/12/2025,1
1/12/2025,25000850B,"Padi Janger Logawa 4 X 5 kg*",18/5/2026,400,SJ,01/12/2025,1
1/12/2025,25002368,"Macerio 52 WP 20 X 500 gr",1/8/2030,4000,"100/JAI/MJS/XI/2025 SHIP TO HIKMAH AGUNG",01/12/2025,1
1/12/2025,25002369,"Tiezene 80 WP 20 X 1 kg",1/1/1000,6000,"AJI/XI/2025/398 SHIP TO FAST",01/12/2025,1
1/12/2025,25002369,"Tiezene 80 WP 40 X 500 gr",1/1/1000,2000,"AJI/XI/2025/398 SHIP TO FAST",01/12/2025,1
1/12/2025,25002370,"Benang Pe mlg*",1/1/1000,5000,1/XII/25,01/12/2025,1
1/12/2025,25002371,"Isi Staples Alat Pengikat Tanaman Yoto 10 X 1 pack*",1/1/1000,100,10011960,01/12/2025,1
1/12/2025,25002371,"Pita Alat Pengikat Tanaman Yoto 25 X 20 X 1 roll*",1/1/1000,100,10011960,01/12/2025,1
1/12/2025,25002371,"Tangki TOP AGRI Single Fungsi 16 ltr baterai*",1/1/1000,200,10011960,01/12/2025,1
1/12/2025,25002371,"Tangki TOP AGRI Double Fungsi 16 ltr baterai*",1/1/1000,200,10011960,01/12/2025,1
1/12/2025,25002372,"Cabrio 250 EC 48 X 100 ml",1/5/2030,3888,6215612620,01/12/2025,1
1/12/2025,25002372,"Cabrio 250 EC 48 X 100 ml",1/6/2030,912,6215612620,01/12/2025,1
1/12/2025,25002373,"Cabrio 250 EC 24 X 250 ml",1/5/2028,4800,6215612622,01/12/2025,1
1/12/2025,25002374,"Cabrio 250 EC 24 X 250 ml",1/5/2028,4800,6215612621,01/12/2025,1
1/12/2025,25002375,"Cabrio 250 EC 24 X 250 ml",1/5/2028,4800,6215612625,01/12/2025,1
1/12/2025,25002376,"Cabrio 250 EC 24 X 250 ml",1/5/2028,4800,6215612624,01/12/2025,1
1/12/2025,25002377,"Efficon 120 SL 48 X 100 ml",1/6/2027,7200,6215612619,01/12/2025,1
1/12/2025,25002378,"Luna Smart 250/250 SC 50 X 100 ml",1/11/2027,750,6158065913,01/12/2025,1
1/12/2025,25002379,"Sofia 200/70/30 OD 16 X 500 ml*",1/10/2029,32,"DO. 2025.11.00033",01/12/2025,1
1/12/2025,25002379,"Asia Top 288 SL 20 X 1 ltr*",1/7/2030,2000,"DO. 2025.11.00033",01/12/2025,1
1/12/2025,25002379,"Winda 250 SC 10 X 500 ml*",1/9/2030,100,"DO. 2025.11.00033",01/12/2025,1
1/12/2025,25002379,"Sofia 200/70/30 OD 16 X 500 ml*",1/11/2030,208,"DO. 2025.11.00033",01/12/2025,1
1/12/2025,25002380,"Mupxone 276 SL 20 X 1 ltr + 1 pack Pilly 5 gr",1/10/2029,20,"225 DO 2564 TA",01/12/2025,1
1/12/2025,25002380,"Mupxone 276 SL 20 X 1 ltr + 1 pack Pilly 5 gr",1/11/2029,1480,"225 DO 2564 TA",01/12/2025,1
1/12/2025,25002381,"Manohara 20 X 1 kg*",1/11/2030,1700,"16.11.2025	",01/12/2025,1
1/12/2025,25002381,"You Stick 15 X 1 ltr*",1/11/2030,225,"16.11.2025	",01/12/2025,1
1/12/2025,25002381,"You Stick 20 X 500 ml*",1/11/2030,200,"16.11.2025	",01/12/2025,1
1/12/2025,25002381,"Calcium D-Diana 20 X 1 kg*",1/11/2030,1000,"16.11.2025	",01/12/2025,1
1/12/2025,25002382,"Manohara 20 X 1 kg*",1/11/2030,4800,17.11.2025,01/12/2025,1
