tgl_transaksi,kd_faktur_lpb,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
26/1/2026,26000140,"Eros Gold 0.75/30 DF 40 X 250 gr",1/1/1000,11200,"8924834176 SHIP TO BERKAH ABADI MADINAH",26/01/2026,1
26/1/2026,26000141,"BM Jamurlang 300 EC 40 X 250 ml*",1/12/2030,1120,802009747,26/01/2026,1
26/1/2026,26000142,"BM Jamurlang 300 EC 40 X 250 ml*",1/12/2030,80,802009746,26/01/2026,1
26/1/2026,26000143,"Basfoliar Combi Stipp 20 X 500 ml*",1/6/2030,500,802009748,26/01/2026,1
26/1/2026,26000144,"Basfoliar Combi Stipp 20 X 500 ml*",1/6/2030,20,802009745,26/01/2026,1
26/1/2026,26000145,"Tali Gawar 989 40 X 600 gr*",1/1/1000,8320,18/I/26,26/01/2026,1
26/1/2026,26000146,"ZA Pak Tani 50 kg",1/9/2028,120,S/2601/93371,26/01/2026,1
26/1/2026,26000147,"Round Up 486 SL 4 X 4 ltr",1/1/2031,1200,25/26-000755-03,26/01/2026,1
26/1/2026,26000148,"Round Up 486 SL 12 X 1 ltr",1/1/2031,12000,25/26-000754-03,26/01/2026,1
26/1/2026,26000149,"Alfatox 50 EC 50 X 80 ml*",1/12/2030,100,SJAGM2601039,26/01/2026,1
26/1/2026,26000149,"Kaliandra 482 EC 40 X 200 ml*",1/12/2030,400,SJAGM2601039,26/01/2026,1
26/1/2026,26000149,"Kaliandra 482 EC 20 X 400 ml*",1/10/2030,2840,SJAGM2601039,26/01/2026,1
26/1/2026,26000149,"Alfatox 50 EC 20 X 400 ml*",1/8/2030,1000,SJAGM2601039,26/01/2026,1
26/1/2026,26000149,"Alfatox 50 EC 40 X 200 ml*",1/2/2030,1120,SJAGM2601039,26/01/2026,1
26/1/2026,26000149,"Alfatox 50 EC 40 X 200 ml*",1/8/2030,2000,SJAGM2601039,26/01/2026,1
26/1/2026,26000149,"Kaliandra 482 EC 40 X 200 ml*",1/10/2030,3600,SJAGM2601039,26/01/2026,1
26/1/2026,26000149,"Kaliandra 482 EC 20 X 400 ml*",1/12/2030,3160,SJAGM2601039,26/01/2026,1
26/1/2026,26000149,"Alfatox 50 EC 40 X 200 ml*",1/12/2030,880,SJAGM2601039,26/01/2026,1
26/1/2026,26000150k,"Basvidor 25 WP 100 X 100 gr*",1/2/2027,5000,0117/01/26,26/01/2026,1
26/1/2026,26000150k,"Basvidor 25 WP 50 X 200 gr*",1/10/2026,2500,0117/01/26,26/01/2026,1
26/1/2026,26000150k,"Basrata 150 SL 20 X 1 ltr*",1/12/2030,1000,0117/01/26,26/01/2026,1
26/1/2026,26000150k,"Basrata 150 SL 20 X 500 ml*",1/8/2030,500,0117/01/26,26/01/2026,1
26/1/2026,26000150k,"Basrata 150 SL 50 X 250 ml*",1/8/2030,1250,0117/01/26,26/01/2026,1
26/1/2026,26000150k,"Basgent 55 SC 50 X 250 ml*",1/10/2030,1250,0117/01/26,26/01/2026,1
26/1/2026,26000151k,"Megaloman 30 EC 40 X 250 ml*",1/10/2028,120,DO.2026.01.00002,26/01/2026,1
26/1/2026,A26000002k,"Basgent 55 SC 100 X 50 ml",1/8/2030,50,"0117/01/26 / Sample",26/01/2026,1
26/1/2026,A26000002k,"Bestdonk 530 SL 20 X 1 ltr",1/1/2031,10,"0117/01/26 / Sample",26/01/2026,1
