tgl_transaksi,kd_faktur_lpb,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
16/8/2025,25000467B,"Jagung NK 212 BTGT 20 X 1 kg",6/7/2026,10700,850599703,19/08/2025,1
16/8/2025,25000467B,"Jagung NK 212 BTGT 20 X 1 kg",6/7/2026,5300,850599703,19/08/2025,1
16/8/2025,25000468B,"Jagung Pertiwi 3 20 X 1 kg",1/7/2026,3520,DO-S/2025/07220,19/08/2025,1
16/8/2025,25000468B,"Jagung Pertiwi 3 20 X 1 kg",1/8/2026,3380,DO-S/2025/07220,19/08/2025,1
16/8/2025,25000469B,"Jagung NK 212 20 X 1 kg",6/7/2026,1600,850602460,19/08/2025,1
16/8/2025,25000469B,"Jagung NK 212 20 X 1 kg",6/7/2026,12020,850602460,19/08/2025,1
16/8/2025,25000469B,"Jagung NK 212 20 X 1 kg",6/7/2026,1420,850602460,19/08/2025,1
16/8/2025,25000469B,"Jagung NK 212 20 X 1 kg",20/7/2026,960,850602460,19/08/2025,1
18/8/2025,25000470B,"Melon Kaiser 50 X 5 X 500 seed",1/4/2027,250,SJ,19/08/2025,1
16/8/2025,25001570,"Passxone 276 SL 20 X 1 ltr*",1/8/2030,5000,SJR/0825/0119,19/08/2025,1
16/8/2025,25001570,"Grandally 25 WP 5 gr",1/1/1000,5000,SJR/0825/0119,19/08/2025,1
16/8/2025,25001571,"Kresnatop 500 SC 20 X 1 ltr",1/8/2030,380,DO/0001/0825/0517,19/08/2025,1
16/8/2025,25001571,"Kresnatop 500 SC 20 X 1 ltr",1/8/2030,1000,DO/0001/0825/0517,19/08/2025,1
16/8/2025,25001571,"Kresnatop 500 SC 20 X 1 ltr",1/8/2030,1200,DO/0001/0825/0517,19/08/2025,1
16/8/2025,25001571,"Kresnatop 500 SC 20 X 1 ltr",1/8/2030,920,DO/0001/0825/0517,19/08/2025,1
16/8/2025,25001571,"Kresnatop 500 SC 20 X 1 ltr",1/8/2030,560,DO/0001/0825/0517,19/08/2025,1
16/8/2025,25001571,"Kresnatop 500 SC 20 X 1 ltr",1/8/2030,940,DO/0001/0825/0517,19/08/2025,1
16/8/2025,25001572,"Ricestar 69 EC 40 X 250 ml",1/11/2026,320,6128063991,19/08/2025,1
16/8/2025,25001572,"Ricestar 69 EC 40 X 250 ml",1/6/2027,3680,6128063991,19/08/2025,1
16/8/2025,25001573,"Slayer 205 SL 20 X 1 ltr",25/6/2029,1000,"1520/AMF/VII/2025 Ship to Kalsel ",19/08/2025,1
16/8/2025,25001573,"Glufa 200 SL 20 X 1 ltr",22/7/2029,10000,"1520/AMF/VII/2025 Ship to Kalsel ",19/08/2025,1
16/8/2025,25001574,"Gandasil B 144 X 100 gr",1/6/2028,72000,016/0825/M,19/08/2025,1
16/8/2025,25001574,"Gandasil B 24 X 500 gr",1/7/2028,36000,016/0825/M,19/08/2025,1
16/8/2025,25001575,"Elestal Neo 54 WG 100 X 30 gr",1/10/2026,1000,1810626893,19/08/2025,1
16/8/2025,25001576,"Simodis 100 DC 50 X 100 ml",1/10/2027,19900,1810624962,19/08/2025,1
16/8/2025,25001576,"Simodis 100 DC 50 X 100 ml",1/12/2027,6850,1810624962,19/08/2025,1
16/8/2025,25001576,"Simodis 100 DC 50 X 100 ml",1/1/2028,4300,1810624962,19/08/2025,1
16/8/2025,25001576,"Simodis 100 DC 50 X 100 ml",1/4/2028,3450,1810624962,19/08/2025,1
16/8/2025,25001577,"Mulsa Karisma 60 cm / 20 kg (Roll)",1/1/1000,400,SJ/25/VIII/0086,19/08/2025,1
18/8/2025,25001578,"Topjos 300 SL 20 X 1 ltr*",1/8/2030,5000,DO/0001/0825/0605,19/08/2025,1
18/8/2025,25001579,"You Stick 15 X 1 ltr*",1/6/2030,375,016.08.2025,19/08/2025,1
18/8/2025,25001579,"Hara Garuda 20 X 1 kg*",1/7/2030,500,016.08.2025,19/08/2025,1
18/8/2025,25001579,"Manohara 20 X 1 kg*",1/8/2030,3000,016.08.2025,19/08/2025,1
18/8/2025,25001579,"Calcium 99 20 X 1 kg*",1/8/2030,2000,016.08.2025,19/08/2025,1
18/8/2025,25001579,"Dewa Dewi 20 X 500 ml*",1/8/2030,500,016.08.2025,19/08/2025,1
18/8/2025,25001579,"Dewa Dewi 15 X 1 ltr*",1/8/2030,750,016.08.2025,19/08/2025,1
16/8/2025,25001580,"Mulsa Karisma 60 cm / 20 kg (Roll)",1/1/1000,3,SJ,19/08/2025,1
18/8/2025,25001581,"ZA Pak Tani 50 kg",1/10/2027,120,890520,19/08/2025,1
18/8/2025,25001582,"Manohara 20 X 1 kg*",1/8/2030,7000,015.08.2025,19/08/2025,1
18/8/2025,25001583,"Topjos 300 SL 20 X 1 ltr*",1/11/2029,20,DO/0001/0825/0508,19/08/2025,1
18/8/2025,25001583,"Topjos 300 SL 20 X 1 ltr*",1/1/2030,200,DO/0001/0825/0508,19/08/2025,1
18/8/2025,25001583,"Topjos 300 SL 20 X 1 ltr*",1/5/2030,440,DO/0001/0825/0508,19/08/2025,1
18/8/2025,25001583,"Topjos 300 SL 20 ltr*",1/7/2030,35,DO/0001/0825/0508,19/08/2025,1
18/8/2025,25001583,"Topjos 300 SL 20 X 1 ltr*",1/5/2030,400,DO/0001/0825/0508,19/08/2025,1
18/8/2025,25001584,"Qiumex 36 EC 10 X 1 ltr*",1/4/2030,150,DO/0001/0825/0507,19/08/2025,1
18/8/2025,25001584,"Kresnatop 500 SC 4 X 5 ltr",1/7/2030,100,DO/0001/0825/0507,19/08/2025,1
18/8/2025,25001584,"Qiumex 36 EC 40 X 250 ml*",1/8/2030,2000,DO/0001/0825/0507,19/08/2025,1
18/8/2025,25001584,"Viaron 80 WP 10 X 1 kg*",1/8/2030,460,DO/0001/0825/0507,19/08/2025,1
18/8/2025,25001584,"Viaron 80 WP 10 X 1 kg*",1/8/2030,40,DO/0001/0825/0507,19/08/2025,1
18/8/2025,25001584,"Kresnadan 3G 10 X 2 kg",1/8/2030,500,DO/0001/0825/0507,19/08/2025,1
18/8/2025,25001584,"Bionik 400 EC 50 X 100 ml*",1/8/2030,2600,DO/0001/0825/0507,19/08/2025,1
18/8/2025,25001585,"Bionik 400 EC 50 X 100 ml*",1/8/2030,1300,DO/0001/0825/0506,19/08/2025,1
18/8/2025,25001586,"Spontan 400 SL 20 X 500 ml",1/8/2029,5710,SH02A-250800027,19/08/2025,1
18/8/2025,25001587,"Win 10 WP 25 X 20 X 10 gr*",1/7/2029,36050,SH02A-250800030,19/08/2025,1
18/8/2025,25001588,"Tangki Dragon Star 16 ltr baterai (Biru)*",1/1/1000,452,"10011777 SHIP TO FAST",19/08/2025,1
