tgl_transaksi,kd_faktur_lpb,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
26/1/2026,26000140,"Eros Gold 0.75/30 DF 40 X 250 gr",1/1/1000,11200,"8924834176 SHIP TO BERKAH ABADI MADINAH",26/01/2026,1
26/1/2026,26000141,"BM Jamurlang 300 EC 40 X 250 ml*",1/12/2030,1120,802009747,26/01/2026,1
26/1/2026,26000142,"BM Jamurlang 300 EC 40 X 250 ml*",1/12/2030,80,802009746,26/01/2026,1
26/1/2026,26000143,"Basfoliar Combi Stipp 20 X 500 ml*",1/6/2030,500,802009748,26/01/2026,1
26/1/2026,26000144,"Basfoliar Combi Stipp 20 X 500 ml*",1/6/2030,20,802009745,26/01/2026,1
26/1/2026,26000145,"Tali Gawar 989 40 X 600 gr*",1/1/1000,8320,18/I/26,26/01/2026,1
26/1/2026,26000146,"ZA Pak Tani 50 kg",1/9/2028,120,S/2601/93371,26/01/2026,1
26/1/2026,26000147,"Round Up 486 SL 4 X 4 ltr",1/1/2031,1200,25/26-000755-03,26/01/2026,1
26/1/2026,26000148,"Round Up 486 SL 12 X 1 ltr",1/1/2031,12000,25/26-000754-03,26/01/2026,1
