tgl_transaksi,kd_faktur_lpb,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
11/8/2025,25000450B,"Jagung DK 9209C 20 X 1 kg (Bayer)",8/8/2026,5000,6128063879,11/08/2025,1
11/8/2025,25000451B,"Jagung DK 9209C 20 X 1 kg (Bayer)",8/8/2026,2500,6128063880,11/08/2025,1
11/8/2025,25001532,"Round Up 486 SL 12 X 1 ltr",1/7/2030,12000,24/25-002033-03,11/08/2025,1
11/8/2025,25001533k,"Inkame 200/350 SC 40 X 250 ml*",1/7/2030,1200,VIII/25/08/SJ,11/08/2025,1
11/8/2025,25001534,"Ratgone 0.005 BB 10 X 1 kg",1/7/2027,1740,SH02A-250800007,11/08/2025,1
11/8/2025,25001535,"Spontan 400 SL 20 X 200 ml",1/6/2029,5580,SH02A-250800004,11/08/2025,1
11/8/2025,25001535,"Spontan 400 SL 12 X 1 ltr",1/7/2029,6390,SH02A-250800004,11/08/2025,1
11/8/2025,25001535,"Spontan 400 SL 20 X 200 ml",1/7/2029,5070,SH02A-250800004,11/08/2025,1
11/8/2025,25001535,"Spontan 400 SL 20 X 500 ml",1/7/2029,780,SH02A-250800004,11/08/2025,1
11/8/2025,25001535,"Spontan 400 SL 20 X 500 ml",1/8/2029,4160,SH02A-250800004,11/08/2025,1
11/8/2025,25001536,"Score 250 EC 40 X 250 ml",1/7/2027,120,001/RETURN/VIII/25,11/08/2025,1
11/8/2025,25001537,"Score 250 EC 40 X 250 ml",1/7/2027,2400,1810597377,11/08/2025,1
11/8/2025,25001537,"Score 250 EC 40 X 250 ml",1/7/2027,10960,1810597377,11/08/2025,1
11/8/2025,25001537,"Score 250 EC 40 X 250 ml",1/7/2027,16800,1810597377,11/08/2025,1
11/8/2025,25001537,"Score 250 EC 40 X 250 ml",1/7/2027,2400,1810597377,11/08/2025,1
11/8/2025,25001537,"Score 250 EC 40 X 250 ml",1/7/2027,120,1810597377,11/08/2025,1
11/8/2025,25001538,"Pilly 25 WP 20 gr",1/7/2029,400,225DO1765TA,11/08/2025,1
11/8/2025,25001538,"Mupxone 276 SL 20 X 1 ltr + 1 pack Pilly 5 gr",1/8/2029,2000,225DO1765TA,11/08/2025,1
11/8/2025,25001538,"Mupxone 276 SL 4 X 5 ltr + 1 pack Pilly 20 gr",1/8/2029,200,225DO1765TA,11/08/2025,1
11/8/2025,25001538,"Mupxone 276 SL 20 ltr",1/8/2029,100,225DO1765TA,11/08/2025,1
