tgl_transaksi,kd_faktur_lpb,kd_barang,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
11/3/2026,26000213B,QJAGU78,"Jagung DK 9209C 20 X 1 kg",20/8/2026,1960,6128068010,14/03/2026,1
11/3/2026,26000213B,QJAGU78,"Jagung DK 9209C 20 X 1 kg",29/9/2026,40,6128068010,14/03/2026,1
2/2/2026,26000214,QMKP01,"MKP 20 X 1 kg",1/1/2029,2000,S/2601/93637,14/03/2026,1
11/3/2026,26000214B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",9/2/2027,1400,851008844,14/03/2026,1
11/3/2026,26000214B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",6/3/2027,14600,851008844,14/03/2026,1
2/2/2026,26000215,QBMJ01,"BM Jamurlang 300 EC 40 X 250 ml*",1/12/2030,1960,802009776,14/03/2026,1
11/3/2026,26000215B,QJAGU95,"Jagung Bisi 235 20 X 1 kg",13/2/2027,2087,1152024158,14/03/2026,1
11/3/2026,26000215B,QJAGU95,"Jagung Bisi 235 20 X 1 kg",2/2/2027,3913,1152024158,14/03/2026,1
11/3/2026,26000216Bk,QTIMU35,"Timun Saemi F1 12 X 12 X 20 gr",1/2/2028,432,1811,14/03/2026,1
2/2/2026,26000216k,QKLOP03,"Kloper 500 SL 40 X 250 ml*",1/1/2031,2000,SJANT2026011023,14/03/2026,1
2/2/2026,26000217,QFORS02,"Forsil 20 X 500 ml*",1/12/2030,100,SJ26010293,14/03/2026,1
2/2/2026,26000217,QFORS02,"Forsil 20 X 500 ml*",1/1/2031,400,SJ26010293,14/03/2026,1
11/3/2026,26000217B,QCABE71,"Cabe Sret 500 gr",1/1/1000,1,SJP2603-0246,14/03/2026,1
11/3/2026,26000217B,QSAWI32,"Sawi Dora 500 gr",1/1/1000,1,SJP2603-0246,14/03/2026,1
11/3/2026,26000217B,QTERO18,"Terong Bungo 500 gr",1/1/1000,1,SJP2603-0246,14/03/2026,1
2/2/2026,26000218,QMETI07,"Metindo 40 SP 40 X 400 gr",1/10/2030,2640,SJ25100244,14/03/2026,1
2/2/2026,26000218,QMETI03,"Metindo 25 WP 10 X 10 X 100 gr*",1/7/2030,3700,SJ25100244,14/03/2026,1
