id;kd_do;kode_barang;kd_faktur;tgl_transaksi;nama_barang;expired_date;qty;qty_pcs;qty_box;no_lot;exp_date
60;KD60;QEFFI01;D26009771;2026-07-01;Efficon 120 SL 48 X 100 ml;2027-06-01;48;0;1;48;2027-06-01
61;KD61;QGREE05;D26009772;2026-07-01;Greenforce 20 X 500 ml;2031-05-01;40;0;2;20;2031-05-01
62;KD62;QGREE03;D26009772;2026-07-01;Greenforce 12 X 1 ltr;2031-05-01;132;0;11;12;2031-05-01
63;KD63;QKRES07;D26009781;2026-07-01;Kresnatop 500 SC 20 X 1 ltr;2031-04-01;200;0;10;20;2031-04-01
64;KD64;QDESA01;D26009795;2026-07-01;Desanto 200 SL 100 X 100 ml;2030-06-01;468;68;4;100;2030-06-01
65;KD65;QDESA01;D26009795;2026-07-01;Desanto 200 SL 100 X 100 ml;2030-06-01;532;32;5;100;2030-06-01
66;KD66;QDESA02;D26009795;2026-07-01;Desanto 200 SL 40 X 250 ml;2030-06-01;600;0;15;40;2030-06-01
67;KD67;QMANZ01;D26009798;2026-07-01;Manzate 82 WP 10 X 1 kg;2029-05-01;100;0;10;10;2029-05-01
68;KD68;ADESA04;M26000119;2026-07-01;Desanto 200 SL 100 X 100 ml ( Sampel );2030-06-01;60;60;0;100;2030-06-01
69;KD69;ADESA04;M26000120;2026-07-01;Desanto 200 SL 100 X 100 ml ( Sampel );2030-06-01;50;50;0;100;2030-06-01
70;KD70;QCHLO01;T26000710;2026-07-01;Chlordin 100/200 SC 50 X 100 ml;2031-02-01;50;0;1;50;2031-02-01
71;KD71;QCHLO02;T26000710;2026-07-01;Chlordin 100/200 SC 20 X 250 ml;2031-02-01;20;0;1;20;2031-02-01
72;KD72;QCHLO01;T26000711;2026-07-01;Chlordin 100/200 SC 50 X 100 ml;2031-02-01;50;0;1;50;2031-02-01
73;KD73;QCHLO02;T26000711;2026-07-01;Chlordin 100/200 SC 20 X 250 ml;2031-02-01;20;0;1;20;2031-02-01
74;KD74;QBENA03;T26000713;2026-07-01;Benabel Plus 120/35 SC 48 X 250 ml;2031-02-01;48;0;1;48;2031-02-01
75;KD75;QCAST04;T26000715;2026-07-01;Castora 40 SP 8 X 50 X 15 gr;2027-08-01;80;80;0;400;2027-08-01
76;KD76;QELAZ02;T26000715;2026-07-01;Elazaro 17/8 WG 10 X 20 X 10 gr;2027-10-01;80;80;0;200;2027-10-01
77;KD77;QPIRA01;T26000715;2026-07-01;Piraklo 250 EC 100 X 100 ml;2030-06-01;50;50;0;100;2030-06-01
78;KD78;QARME01;T26000715;2026-07-01;Armeira 30 WG 10 X 20 X 50 gr;2025-06-01;5;5;0;200;2025-06-01
79;KD79;QCAST04;T26000716;2026-07-01;Castora 40 SP 8 X 50 X 15 gr;2027-08-01;50;50;0;400;2027-08-01
80;KD80;QELAZ02;T26000716;2026-07-01;Elazaro 17/8 WG 10 X 20 X 10 gr;2027-10-01;50;50;0;200;2027-10-01
81;KD81;QPIRA01;T26000716;2026-07-01;Piraklo 250 EC 100 X 100 ml;2030-06-01;50;50;0;100;2030-06-01
82;KD82;QXYCO02;A26000859;2026-07-02;Xycort 550/60 EC 20 X 400 ml;2028-09-01;1;1;0;20;2028-09-01
83;KD83;QAGIL02;B26008474;2026-07-02;Agil 100 EC 40 X 250 ml;2027-06-01;40;0;1;40;2027-06-01
84;KD84;QAGAP01;B26008483;2026-07-02;Agapro 280 SL 50 X 80 ml;2031-02-01;100;0;2;50;2031-02-01
85;KD85;QAGRI07;B26008484;2026-07-02;Agrimec 18 EC 40 X 250 ml;2028-04-01;400;0;10;40;2028-04-01
86;KD86;QPAKE12;B26008502;2026-07-02;Paket Ampuh Ken-Mida 12/50 EC 250 ml + Kenmectin 39 EC 250 ml 24 X 1 paket;2028-03-01;72;0;3;24;2028-03-01
87;KD87;QNEOC01;B26008506;2026-07-02;Neocron 80 OL 20 X 500 ml;2030-11-01;20;0;1;20;2030-11-01
88;KD88;QROUN03;B26008507;2026-07-02;Round Up 486 SL 4 X 4 ltr;2031-03-01;8;0;2;4;2031-03-01
