Kode	Nama	Stock Minimal	Qty All Gudang	Panjang	Lebar	Tinggi	Berat	Unit	Kode Supplier	Supplier	Group1	Group2	Group3	Merkbarang	Bahan Aktif	Fokus	Noindex
="AABAC01"	Abacel 18 EC 10 X 1 ltr	0	0	10	1	1	1253	Btl	EXCEL01	Excel Meg Indo, PT	Obat	Insektisida	Abacel 18 EC		Abamectin		1916
="AABAC02"	Abacell 18 EC 100 X 100 ml (tidak terpakai)	0	0	100	1	1	70.6	Btl	EXCEL01	Excel Meg Indo, PT	Obat	Insektisida	No Group		Abamectin		2
="AABAC03"	Abacel 18 EC 20 X 500 ml	0	0	20	1	1	645.5	Btl	EXCEL01	Excel Meg Indo, PT	Obat	Insektisida	Abacel 18 EC	Abacell 18 EC	Abamectin		3
="AABAC04"	Abacel 18 EC 40 X 250 ml	0	0	40	1	1	340.25	Btl	EXCEL01	Excel Meg Indo, PT	Obat	Insektisida	Abacel 18 EC	Abacell 18 EC	Abamectin		4
="AABAC05"	Abacyper 30/125 EC 48 X 100 ml	0	0	48	1	1	136.46	Btl	ARTHA01	Artha Buana Mandiri/Graha Niaga Mandiri, CV	Obat	Insektisida	Abacyper 30/125 EC	Abacyper 30/125 EC	Abamectin + Sipermetrin		5
="AABAC06"	Abacyper 30/125 EC 24 X 200 ml	0	0	24	1	1	266.25	Btl	ARTHA01	Artha Buana Mandiri/Graha Niaga Mandiri, CV	Obat	Insektisida	Abacyper 30/125 EC		Abamectin + Sipermetrin		6
="AABAC07"	Abacell 18 EC 50 X 100 ml	0	0	50	1	1	139.4	Btl	EXCEL01	Excel Meg Indo, PT	Obat	Insektisida	Abacel 18 EC		Abamectin		7
="AABAC08"	Abacypher Reform 100ml (Sample)	0	0	1	1	1	1	Btl	ARTHA01	Artha Buana Mandiri/Graha Niaga Mandiri, CV	Obat	Insektisida	Abacypher Reform		Abamectin + Sipermetrin		4293
="AABAC09"	Abacel 18 EC 50 X 100 ml	0	0	50	1	1	1	Btl			No Group	No Group	No Group				8506
="AABAD01"	Abado 50 WP 20 X 6 X 40 gr*	0	0	20	6	1	60.8	Pack	ADVAN01	Advansia Indotani, PT	Obat	Fungisida	Abado 50 WP		Dimetomorf	C	1582
="AABAD02"	Abado 50 WP 20 X 20 X 10 gr*	0	0	20	20	1	16.3	Pack	ADVAN01	Advansia Indotani, PT	Obat	Fungisida	Abado 50 WP		Dimetomorf	C	3228
="AABEN01"	Abenz 22 EC 100 X 100 ml	0	0	100	1	1	126	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Abenz 22 EC		Amamektin Benzoat		8
="AABEN02"	Abenz 22 EC 40 X 250 ml	0	0	40	1	1	300	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Abenz 22 EC		Amamektin Benzoat		9
="AABOJ01"	Abojo 60 WP 100 X 100 gr	0	0	100	1	1	118	Pack	ADVAN01	Advansia Indotani, PT	Obat	Moluskisida	Abojo 60 WP		fentin asetat		1583
="AABOJ02"	Abojo 60 WP 10 X 20 X 50 gr	0	0	10	20	1	65.8	Pack	ADVAN01	Advansia Indotani, PT	Obat	Moluskisida	Abojo 60 WP		fentin asetat		3796
="AABOJO01"	Abojo 60 WP 100 X 100 gr	0	0	100	1	1	118	Pack			No Group	No Group	No Group				8747
="AABUK01"	Abuki 50 SL 20 X 500 ml	0	0	20	1	1	575	Btl	AGRIC01	Agricon, PT	Obat	Insektisida	Abuki 50 SL		Imidakloprid		1584
="AACAP01"	Acapela System 280 SC 40 X 100 ml	0	0	40	1	1	167.5	Btl	DUPON01	Dupont Agricultural Product Indonesia, PT	Obat	Insektisida	Acapela System 280 SC		Pikosistrobin & Siprokonazol		10
="AACAP02"	Acapela System 280 SC 50 X 100 ml	0	0	50	1	1	1	Btl	CORTE01	Corteva Agriscience Indonesia, PT	Obat	Fungisida	Acapela System 280 SC				9255
="AACCO01"	Accora 100 EC 50 X 100 ml*	0	0	50	1	1	133	Btl	SARAN08	Sarana Tani Indonesia Makmur, PT	Obat	Insektisida	Accora 100 EC		Sipermetrin	C	4128
="AACCO02"	Accora 100 EC 15 X 1 ltr*	0	0	15	1	1	1073.3	Btl	SARAN08	Sarana Tani Indonesia Makmur, PT	Obat	Insektisida	Accora 100 EC		Sipermetrin	C	4771
="AACCO03"	Accora 100 EC 15 X 1 ltr (Sample)	0	0	15	1	1	1	Btl	SARAN08	Sarana Tani Indonesia Makmur, PT	No Group	No Group	No Group	Accora 100 EC	Sipermetrin		6472
="AACCO04"	Accora 100 EC 20 X 500 ml*	0	0	20	1	1	1	Btl	BEN01	Benih Berkah Berseri, PT	No Group	No Group	No Group	Accora 100 EC	Sipermetrin		7590
="AACCU01"	Accu Kayaba Kering 12A - 12 Volt	0	1	1	1	1	175.75	Pcs	WIDJA01	Widjaya, UD	Sarana Pertanian	Sarana Pertanian	No Group	Accu Kayaba Kering 12A - 12 Volt	Accu		2331
="AACCU02"	Accu Yakotani Kering 12A - 12 Volt	0	0	1	1	1	175.75	Pcs	WIDJA01	Widjaya, UD	Sarana Pertanian	Sarana Pertanian	No Group		Accu		1585
="AACEM01"	Acemain 75 SP 10 X 8 X 100 gr	0	0	10	8	1	0	Pack	ROYAL01	Royal Agro Indonesia, PT	Obat	Insektisida	Acemain 75 SP		Asefat		11
="AACEM02"	Acemain 75 SP 20 X 400 gr	0	0	20	1	1	0	Pack	ROYAL01	Royal Agro Indonesia, PT	Obat	Insektisida	Acemain 75 SP		Asefat		1587
="AACEO01"	Ace One 75 SP 100 X 100 gr*	0	0	100	1	1	115.1	Pack	SINAR01	Sinar General Industries, PT	Obat	Insektisida	Ace One 75 SP		Achephate	C	12
="AACEO02"	Ace One 75 SP 25 X 400 gr*	0	0	25	1	1	432	Pack	SINAR01	Sinar General Industries, PT	Obat	Insektisida	Ace One 75 SP		Achephate	C	1586
="AACEO03"	Ace One 75 SP 20 X 400 gr*	0	0	20	1	1	1	Pack	SINAR01	Sinar General Industries, PT	No Group	No Group	No Group		Achephate	C	6207
="AACEO04"	Ace-One 75 SP 25 X 400 gr*	0	0	25	1	1	432	Pcs	SINAR01	Sinar General Industries, PT	No Group	No Group	No Group				9186
="AACRO01"	Acrobat WP 20 X 6 X 40 gr	0	0	20	6	1	55.4	Pack	BASFI01	BASF Indonesia, PT	Obat	Fungisida	Acrobat 50 WP		Dimetomorf		13
="AACRO02"	Acrobat WP 16 X 20 X 10 gr	0	0	16	20	1	1	Pack	BASFI01	BASF Indonesia, PT	Obat	Fungisida	Acrobat 50 WP		Dimetomorf		5876
="AACTA01"	Actara WG 4 X 25 X 10 gr	0	0	4	25	1	18	Pack	SYNGE01	Syngenta Indonesia, PT	Obat	Insektisida	No Group		Tiametoksan		14
="AACTE01"	Actellicpro 500 EC 10 X 1 ltr	0	0	10	1	1	1150	Btl	SYNGE01	Syngenta Indonesia, PT	Obat	Insektisida	No Group		Metil Pirimifos		1588
="AACTI01"	Active 490 SL 25 X 500 ml	0	0	25	1	1	0	Btl	SINAR01	Sinar General Industries, PT	Obat	Herbisida	No Group		Glifosat		1917
="AACTI02"	Active 490 SL 30 X 250 ml	0	0	30	1	1	0	Btl	SINAR01	Sinar General Industries, PT	Obat	Herbisida	No Group		Glifosat		1918
="AACTI03"	Actigrow 20 X 500 ml*	0	0	20	1	1	710	Btl			No Group	No Group	No Group				8789
="AACTI04"	Activation 20 X 1 ltr	0	0	20	1	1	1	Btl	PETRO02	Petrosida Gresik, PT	Pupuk	ZPT	Activation				9256
="AADEN01"	Adengo SC465 100 X 100 ml	0	0	100	1	1	152.9	Btl	BAYER01	Bayer Indonesia, PT	Obat	Insektisida	No Group		Isoksaflutol & Tienkarbazon metil		15
="AADMI01"	Admit 50 WP 200 X 50 gr*	0	0	200	1	1	0	Pack	GLOBA01	Global Agrotech, PT	Obat	Fungisida	Admit 50 WP		Dimetomorf	C	1589
="AADOC01"	Adoca 150 SC 100 X 100 ml*	0	0	100	1	1	154.8	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	No Group		indoksakarb	C	1919
="AADOC02"	Adoca 150 SC 100 X 50 ml*	0	0	100	1	1	92	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Adoca 150 SC		Indoksakarb	C	1590
="AADRI01"	Adrift 125 EC 40 X 100 ml	0	0	40	1	1	0	Btl	BIOWO01	Bioworld Biosciencen ML, PT	Obat	Fungisida	No Group		Miklobutanil		16
="AADRI02"	Adrift 125 EC 50 X 100 ml	0	0	50	1	1	136	Btl	BIOWO01	Bioworld Biosciencen ML, PT	No Group	No Group	No Group	Adrift 125 EC	Miklobutanil		8152
="AAFON01"	Afonil 50 SC 40 X 250 ml	0	0	40	1	1	336.3	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Afonil 50 SC	Afonil 50 SC	Fipronil		5490
="AAGEN01"	Agent 50 SC 50 X 100 ml	0	0	50	1	1	144	Btl	NUFAR01	Nufarm Indonesia, PT	Obat	Insektisida	Agent 50 SC		Fipronil		3747
="AAGIL01"	Agil 100 EC 100 X 100 ml	0	0	100	1	1	136.6	Btl	ROYAL01	Royal Agro Indonesia, PT	Obat	Herbisida	Agil 100 EC		Propaquizafop		17
="AAGIL02"	Agil 100 EC 40 X 250 ml	0	0	40	1	1	342.5	Btl	ROYAL01	Royal Agro Indonesia, PT	Obat	Herbisida	Agil 100 EC		Propaquizafop		3359
="AAGRI01"	Agrimec 18 EC 100 X 50 ml	0	0	100	1	1	72.8	Btl	SYNGE01	Syngenta Indonesia, PT	Obat	Insektisida	No Group	Agrimec 18 EC	Abamektin		18
="AAGRI02"	Agrimec 18 EC 50 X 100 ml	0	0	50	1	1	131.2	Btl	SYNGE01	Syngenta Indonesia, PT	Obat	Insektisida	No Group		Abamektin		1920
="AAGRI03"	Agristik 400 L 12 X 1 ltr	0	0	12	1	1	1170.8	Btl	BAYER01	Bayer Indonesia, PT	Obat	Perata & Perekat	Agristick 400 L		Alkilaril Poliglikol Eter		1591
="AAGRI04"	Agrical-S 25 kg (S)	0	0	1	1	1	0	Zak	AGRIM02	Agrimas Citra Mandiri	Pupuk	Pupuk	Agrical-S				3144
="AAGRI05"	Agrical-S 25 kg	0	0	1	1	1	0	Zak	AGRIM02	Agrimas Citra Mandiri	Pupuk	Pupuk	Agrical-S				3148
="AAGRI06"	Agristik 400 L 4 X 5 ltr	0	0	4	1	1	5640	Btl	BAYER01	Bayer Indonesia, PT	Obat	Perata & Perekat	Agristick 400 L		Alkilaril Poliglikol Eter		3504
="AAGRI07"	Agri-SC 500 ml	0	0	1	1	1	500	Btl	DELIS01	Deli Standart, PT	Pupuk	Pupuk	Agri-SC				3565
="AAGRI08"	Agrimore P 500 gr (Sample)	0	0	1	1	1	1	Pack	AGRIC02	Agriculture Constraction Indonesia, PT	No Group	No Group	No Group	No Group			8040
="AAGRI09"	Agrimore K 500 gr (Sample)	0	0	1	1	1	1	Pack	AGRIC02	Agriculture Constraction Indonesia, PT	No Group	No Group	No Group	No Group			8041
="AAGRI10"	Agrimore E 20 X 500 gr	0	0	20	1	1	1	Pack			No Group	No Group	No Group				8464
="AAGRI11"	Agrimore K 20 X 500 gr - New	0	0	20	1	1	1	Pack			No Group	No Group	No Group				8465
="AAGRI12"	Agrimore N 20 X 500 gr - New	0	0	20	1	1	1	Pack			No Group	No Group	No Group				8466
="AAGRI13"	Agrimore P 20 X 500 gr	0	0	20	1	1	1	Pack			No Group	No Group	No Group				8467
="AAGRI14"	Agristick 400 L 12 X 1 ltr	0	0	12	1	1	1	Btl			No Group	No Group	No Group				8987
="AAGRO01"	Agrogib 20 T 50 X 5 gr*	0	0	50	1	1	0	Pack	GLOBA01	Global Agrotech, PT	Obat	ZPT	No Group		Asam Giberelat	C	2298
="AAGRO02"	Agrosil B/K 120 X 100 gr	0	0	120	1	1	0	Pack	WAHAN01	Wahana Pundhi Karsa Abadi, PT	Pupuk	Pupuk Daun	No Group				1592
="AAGRO03"	Agrosil B/K 24 X 500 gr	0	0	24	1	1	0	Pack	WAHAN01	Wahana Pundhi Karsa Abadi, PT	Pupuk	Pupuk Daun	Agrosil B				1593
="AAGRO04"	Agrosil D 120 X 100 gr	0	0	120	1	1	0	Pack	WAHAN01	Wahana Pundhi Karsa Abadi, PT	Pupuk	Pupuk Daun	No Group				1594
="AAGRO05"	Agrosil D/H 24 X 500 gr	0	0	24	1	1	0	Pack	WAHAN01	Wahana Pundhi Karsa Abadi, PT	Pupuk	Pupuk Daun	Agrosil D				1595
="AAGRO06"	Agrosiper 100 EC 25 X 500 ml*	0	0	25	1	1	529.6	Btl	EXCEL01	Excel Meg Indo, PT	Obat	Insektisida	Agrosiper 100 EC		Sipermetrin	C	1596
="AAGRO07"	Agrosiper 100 EC 10 X 1 ltr*	0	0	10	1	1	1026	Btl	EXCEL01	Excel Meg Indo, PT	Obat	Insektisida	Agrosiper 100 EC		Sipermetrin	C	19
="AAGRO08"	Agrogibb 40 SL 30 X 15 X 35 ml	0	0	30	15	1	46.11	Btl	GLOBA01	Global Agrotech, PT	Obat	ZPT	Agrogibb 40 SL	Agrogib 40 SL	Asam Giberelat		20
="AAGRO09"	Agrotech 722 SL ( G ) 20 X 500 ml*	0	0	20	1	1	675	Btl	GLOBA01	Global Agrotech, PT	Obat	Fungisida	No Group		Propamokarb indoklorida	C	1887
="AAGRO10"	Agrovin 200 SL 20 X 500 ml*	0	0	20	1	1	642.5	Btl	GLOBA01	Global Agrotech, PT	Obat	Insektisida	Agrovin 200 SL		Imidakloprid	C	21
="AAGRO11"	Agrovin 200 SL 40 X 250 ml*	0	0	40	1	1	337.5	Btl	GLOBA01	Global Agrotech, PT	Obat	Insektisida	Agrovin 200 SL		Imidakloprid	C	1597
="AAGROM01"	Agromil 710 EC 20 X 1 ltr	0	0	20	1	1	1	Btl			No Group	No Group	No Group	No Group			7911
="AAGUS01"	Agus 500 SC 40 X 250 ml*	0	0	40	1	1	331.3	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Agus 500 SC		Diafentiuron	C	22
="AAGUS02"	Agus 500 SC 100 X 100 ml*	0	0	100	1	1	152	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Agus 500 SC		Diafentiuron	C	23
="AAGUS03"	Agus 500 SC 100 X 100 ml*	0	0	100	1	1	152	Btl			No Group	No Group	No Group	Agus 500 SC			8216
="AAGUS04"	Agus 500 SC 40 X 250 ml*	0	0	40	1	1	331	Btl			No Group	No Group	No Group	Agus 500 SC			8217
="AAGXA01"	Agxanazol 200/150 SC 50 X 100 ml*	0	0	50	1	1	1	Btl			No Group	No Group	No Group				8994
="AAGXA02"	Agxanazol 200/150 SC 20 X 250 ml*	0	0	20	1	1	1	Pcs			No Group	No Group	No Group				9165
="AAIPI01"	Aipin 500 SL 24 X 500 ml*	0	0	24	1	1	784.58	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Aipin 500 SL		Dimehipo	C	3798
="AAIPI02"	Aipin 500 SL 12 X 1 ltr*	0	0	12	1	1	1451.67	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Aipin 500 SL		Dimehipo	C	4286
="AAIPI03"	Aipin 500 SL 6 X 2 ltr*	0	0	6	1	1	2965	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Aipin 500 SL		Dimehipo	C	4287
="AAKAL01"	Akalis 550 SC 20 X 500 ml	0	0	20	1	1	1212.5	Btl	ADVAN01	Advansia Indotani, PT	Obat	Herbisida	Akalis 550 SC		Atrazin + Mesotrion		24
="AAKAL02"	Akalis 550 SC 40 X 250 ml	0	0	40	1	1	542.5	Btl	ADVAN01	Advansia Indotani, PT	Obat	Herbisida	Akalis 550 SC		Atrazin + Mesotrion		25
="AAKAL03"	Akalis 550 SC 10 X 1 ltr	0	0	10	1	1	2090	Btl	ADVAN01	Advansia Indotani, PT	Obat	Herbisida	Akalis 550 SC		Atrazin + Mesotrion		3067
="AAKAR01"	Akara 75 WP 20 X 20 X 25 gr*	0	0	20	20	1	37.1	Pack	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Akara 75 WP		Trisiklazol	C	26
="AAKAR02"	Akara 75 WP 100 X 100 gr*	0	0	100	1	1	118.5	Pack	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Akara 75 WP		Trisiklazol	C	5651
="AAKOD01"	Akodani 50 X 100 ml	0	0	50	1	1	37.73	Btl	NONAM01	No Name	Obat	Insektisida	No Group				1921
="AAKRO01"	Akrostar 40 WP 50 X 40 gr (Sample)	0	0	50	1	1	1	Pack	MAJUM01	Maju Makmur Utomo, PT	Obat	Fungisida	No Group		Azoxystrobin + Dimetomorf		6283
="AAKRO02"	Akrostar 40 WP 50 X 20 gr (Sample)	0	0	50	1	1	1	Pack	MAJUM01	Maju Makmur Utomo, PT	No Group	No Group	No Group	No Group			7318
="AAKRO03"	Akrostar 40 WP 100 X 100 gr*	0	0	100	1	1	121	Pcs			No Group	No Group	No Group				8605
="AALAD01"	Aladin 865 SL 20 X 400 ml	0	0	20	1	1	1	Btl			No Group	No Group	No Group				8460
="AALAM01"	Alamo 350 SC 20 X 500 ml*	0	0	20	1	1	665	Btl	ASIAG01	Asia Gala Kimia, PT	Obat	Insektisida	Alamo 350 SC		Imidakloprid	A	3612
="AALAM02"	Alamo 350 SC 48 X 100 ml*	0	0	48	1	1	144.8	Btl	ASIAG01	Asia Gala Kimia, PT	Obat	Insektisida	Alamo 350 SC		Imidakloprid	A	3613
="AALAS01"	Alaska 20 EC 100 ml (sampel)	0	0	1	1	1	100	Btl	ARTHA01	Artha Buana Mandiri/Graha Niaga Mandiri, CV	Obat	Insektisida	Alaska 20 EC				3538
="AALAT01"	Alat Kocor Pupuk Padat Flow 1 Nozzle*	0	0	1	1	1	2850	Pcs	JAWAA01	Jawa Agrindo Internasional, PT	Sarana Pertanian	Alat Kocor Pupuk	Alat Kocor Pupuk			B	5467
="AALAT02"	Alat Kocor Pupuk Cair Boster 20 ltr*	0	0	1	1	1	1	Pcs	AGROD01	Agro Dynamics Indo, PT	Sarana Pertanian	Alat Kocor Pupuk	Alat Kocor Pupuk		Alat Kocor	A	5507
="AALAT03"	Alat Tanam Roll 8 Lubang*	0	0	1	1	1	1	Pcs	STARM01	Star Metal Ware Industry, PT	Sarana Pertanian	Alat Tanam Roll	Alat Tanam Roll Satagro			C	5564
="AALAT04"	Alat Pengikat Tanaman Yoto 20 X 1 pcs*	0	0	20	1	1	690	Roll	STARM01	Star Metal Ware Industry, PT	Sarana Pertanian	Alat Pengikat Tanaman	Alat Pengikat Tanaman Yoto		Sarana Pertanian	C	5711
="AALAT05"	Alat Kocor Pupuk Padat Quda Karisma*	0	0	1	1	1	1	Pcs	IMTAS01	Imta Sukses Abadi, PT	Sarana Pertanian	Alat Kocor Pupuk	Alat Kocor Pupuk		Sarana Pertanian	A	5861
="AALAT06"	Alat Kocor Pupuk Cair Quda Karisma 20 ltr*	10	0	1	1	1	1	Pcs	SARAN04	Sarana Tani Makmur, CV	No Group	No Group	No Group	Alat Kocor Pupuk	Alat Kocor	A	6018
="AALAT07"	Alat Kocor Pupuk Padat Imtagro	0	0	1	1	1	1	Pcs	SARAN04	Sarana Tani Makmur, CV	Sarana Pertanian	Alat Kocor Pupuk	Alat Kocor Pupuk		Sarana Pertanian		6224
="AALAT08"	Alat Kocor Pupuk Cair SAM 38	0	0	1	1	1	1	Pcs	SARAN04	Sarana Tani Makmur, CV	Sarana Pertanian	Alat Kocor Pupuk	Alat Kocor Pupuk		Alat Kocor		6225
="AALAT09"	Alat Kocor Pupuk Padat Quda Karisma 25 ltr*	0	0	1	1	1	1	Pcs	SARAN04	Sarana Tani Makmur, CV	No Group	No Group	No Group				8496
="AALEX02"	Alexis 70 WP 15 X 800 gr*	0	0	15	1	1	880	Pack	MAJUM01	Maju Makmur Utomo, PT	No Group	No Group	No Group	Alexis 70 WP	Propineb	C	6844
="AALFA01"	Alfatox 50 EC 50 X 80 ml (AGM)*	0	0	50	1	1	105	Btl	AGROG01	Agro Guna Makmur, PT	Obat	Insektisida	No Group		Alfa Sipermetrin	B	1922
="AALFA02"	Alfatox 50 EC 20 X 400 ml*	0	0	20	1	1	442.5	Btl	AGROG01	Agro Guna Makmur, PT	Obat	Insektisida	Alfatox 50 EC		Alfa Sipermetrin	B	1598
="AALFA03"	Alfatox 50 EC 40 X 200 ml (AGM)*	0	0	40	1	1	243.8	Btl	AGROG01	Agro Guna Makmur, PT	Obat	Insektisida	Alfatox 50 EC		Alfa Sipermetrin	B	27
="AALFA04"	Alfatox 50 EC 20 X 400 ml (AGM)*	0	0	20	1	1	442.5	Btl	AGROG01	Agro Guna Makmur, PT	Obat	Insektisida	Alfatox 50 EC		Alfa Sipermetrin	B	28
="AALFA05"	Alfatox 50 EC 50 X 200 ml (AGM)*	0	0	50	1	1	246.8	Btl	AGROG01	Agro Guna Makmur, PT	Obat	Insektisida	Alfatox 50 EC		Alfa Sipermetrin	B	1599
="AALFA06"	Alfatox 50 EC 40 X 200 ml*	0	0	40	1	1	243.8	Pcs			No Group	No Group	No Group				9202
="AALI-01"	Ali-Ron 10 X 20 X 5 gr	0	0	10	20	1	0	Pack	DELIS01	Deli Standart, PT	Obat	Herbisida	No Group		Metil Metsulfuron		1602
="AALIK01"	Alika 247 ZC 50 X 100 ml	0	0	50	1	1	144	Btl	SYNGE01	Syngenta Indonesia, PT	Obat	Insektisida	Alika 247 ZC		Lamda Sihalotrin & Tiametoksam		1600
="AALIK02"	Alika 247 ZC 40 X 250 ml	0	0	40	1	1	338.8	Btl	SYNGE01	Syngenta Indonesia, PT	Obat	Insektisida	Alika 247 ZC		Lamda Sihalotrin & Tiametoksam		1601
="AALIK03"	Alika 247 ZC 100 X 50 ml	0	0	100	1	1	77.5	Btl	SYNGE01	Syngenta Indonesia, PT	Obat	Insektisida	Alika 247 ZC	Alika 247 ZC	Lamda Sihalotrin & Tiametoksam		3229
="AALLY01"	Ally Plus 77 WP 8 X 25 X 40 gr	0	0	8	25	1	54.3	Pack	DUPON01	Dupont Agricultural Product Indonesia, PT	Obat	Herbisida	No Group		Metil Metsulfuron		29
="AALLY02"	Ally 20 WDG 10 X 20 X 5 gr	0	0	10	20	1	10.3	Pack	DUPON01	Dupont Agricultural Product Indonesia, PT	Obat	Herbisida	No Group		Metil Metsulfuron		30
="AALMI01"	Almix 247 ZC 40 X 250 ml*	0	0	40	1	1	1	Btl			No Group	No Group	No Group	Almix 247 ZC			8423
="AALPH01"	Alphadine 6 GR 10 X 1 kg	0	0	10	1	1	0	Pack	AGROT01	Agrotech Pesticide Industry, PT	Obat	Insektisida	No Group				31
="AALPH02"	Alphadine SL 45 X 200 ml	0	0	45	1	1	0	Btl	AGROT01	Agrotech Pesticide Industry, PT	Obat	Insektisida	No Group				1923
="AALTA01"	Altar 250 SC 40 X 250 ml	0	0	40	1	1	0	Btl	SARIK02	Sari Kresna Kimia, PT	Obat	ZPT	Altar 250 SC				1924
="AALTR01"	Altron 20 X 500 ml	0	0	20	1	1	570	Btl	INDAG01	Indagro, PT	Obat	Perata & Perekat	No Group				1603
="AAMAB01"	Amabas 500 EC 20 X 400 ml*	200	0	20	1	1	515	Btl	SARIK02	Sari Kresna Kimia, PT	Obat	Insektisida	No Group	Amabas 500 EC	BPMC	C	2173
="AAMAB02"	Amabas 500 EC 16 X 1 ltr*	160	0	16	1	1	1137.5	Btl	SARIK02	Sari Kresna Kimia, PT	Obat	Insektisida	Amabas 500 EC	Amabas 500 EC	BPMC	C	3281
="AAMAZ01"	Amazone 80 EC 40 X 200 ml*	0	0	40	1	1	262.5	Btl	ARTHA01	Artha Buana Mandiri/Graha Niaga Mandiri, CV	Obat	Insektisida	Amazone 80 EC	Amazone 80 EC	Emamektin Benzoat & Lupenuron	B	32
="AAMAZ02"	Amazone 80 EC 50 X 80 ml*	0	0	50	1	1	120	Btl	ARTHA01	Artha Buana Mandiri/Graha Niaga Mandiri, CV	Obat	Insektisida	Amazone 80 EC		Emamektin Benzoat & Lupenuron	B	33
="AAMAZ03"	Amazone + PBO 50 ml (Sample)	0	0	1	1	1	1	Btl	ARTHA01	Artha Buana Mandiri/Graha Niaga Mandiri, CV	Obat	Insektisida	Amazone 80 EC		Emamektin Benzoat & Lupenuron		3902
="AAMB03"	Ambest 100 ME 50 X 100 ml	0	0	1	1	1	1	Pcs			No Group	No Group	No Group				8853
="AAMBE01"	Ambest 100 ME 40 X 250 ml	0	0	40	1	1	328.8	Btl	BIOWO01	Bioworld Biosciencen ML, PT	Obat	Insektisida	No Group	Ambest 100 ME	Asetamiprid, Fipronil		34
="AAMBE02"	Ambest 100 ME 50 X 100 ml	0	0	50	1	1	136	Btl	BIOWO01	Bioworld Biosciencen ML, PT	Obat	Insektisida	No Group		Asetamiprid, Fipronil		35
="AAMCO01"	Amcoxone 276 SL 4 X 5 ltr	0	0	4	1	1	0	Gal	ADILM01	Adil Makmur Fajar, PT	Obat	Herbisida	No Group		Ion Parakuat		1604
="AAMCO02"	Amcoxone 276 SL 20 X 1 ltr	0	0	20	1	1	0	Btl	ADILM01	Adil Makmur Fajar, PT	Obat	Herbisida	Amcoxone 276 SL		Ion Parakuat		1605
="AAMCO03"	Amcoxone 276 SL 20 ltr	0	0	1	1	1	0	Pail	ADILM01	Adil Makmur Fajar, PT	Obat	Herbisida	Amcoxone 276 SL		Ion Parakuat		1606
="AAMCO04"	Amcoron 80 WP 40 X 250 gr*	0	0	40	1	1	303.8	Pack	ADILM01	Adil Makmur Fajar, PT	Obat	Herbisida	Amcoron 80 WP		Diuron	C	5217
="AAMCO05"	Amcoron 80 WP 20 X 1 kg	0	0	20	1	1	1	Pack	ADILM01	Adil Makmur Fajar, PT	No Group	No Group	No Group	Amcoron 80 WP	Diuron		7195
="AAMCO06"	Amcothene 75 SP 25 Kg	0	0	1	1	1	1	Pack			No Group	No Group	No Group	No Group			8364
="AAMCO07"	Amco Up 486 SL 20 X 1 ltr*	0	0	20	1	1	1335	Btl			No Group	No Group	No Group				8459
="AAMEG01"	Amegu 200 SL 20 X 1 ltr*	0	0	20	1	1	1243	Btl	INTER01	Inter Agro Indonesia, PT	Obat	Herbisida	Amegu 200 SL	Amegu 200 SL	Amonium Glufosinat	C	6113
="AAMET01"	Ametrex 500 SC 10 X 1 ltr	0	0	10	1	1	1259	Btl	ROYAL01	Royal Agro Indonesia, PT	Obat	Herbisida	Ametrex 500 SC		Ametrin		3624
="AAMIB01"	Amiboost Anti Stress 20 X 250 ml (Sample)	0	0	20	1	1	350	Btl	CHEIL01	Cheil Jedang Indonesia, PT	No Group	No Group	No Group	No Group			7204
="AAMIB02"	Amiboost Generative 20 X 250 ml	0	0	20	1	1	350	Btl	CHEIL01	Cheil Jedang Indonesia, PT	No Group	No Group	No Group	No Group			7205
="AAMIB03"	Amiboost Vegetative 20 X 250 ml	0	0	20	1	1	350	Btl	CHEIL01	Cheil Jedang Indonesia, PT	No Group	No Group	No Group	No Group			7206
="AAMIB04"	Amiboost Generative 10 X 1 ltr*	0	0	10	1	1	1	Btl	CHEIL01	Cheil Jedang Indonesia, PT	No Group	No Group	No Group	Amiboost Generative	Asam Amino	A	7465
="AAMIB05"	Amiboost Vegetative 10 X 1 ltr*	0	0	10	1	1	1	Btl	CHEIL01	Cheil Jedang Indonesia, PT	No Group	No Group	No Group	Amiboost Vegetative	Asam Amino	A	7466
="AAMIB06"	Amiboost Vegetative 20 X 500 ml*	0	0	20	1	1	1	Btl	CHEIL01	Cheil Jedang Indonesia, PT	No Group	No Group	No Group	Amiboost Vegetative	Asam Amino		7872
