Kode	Nama	Stock Minimal	Qty All Gudang	Panjang	Lebar	Tinggi	Berat	Unit	Kode Supplier	Supplier	Group1	Group2	Group3	Merkbarang	Bahan Aktif	Fokus	Noindex
="AROUN03"	Round Up 486 SL 4 X 4 ltr	0	0	4	1	1	8500	Btl	NUFAR01	Nufarm Indonesia, PT	Obat	Herbisida	Round Up 486 SL		Glifosat		458
="AROUN04"	Round Up 486 SL 50 X 200 ml	0	0	50	1	1	270	Btl	NUFAR01	Nufarm Indonesia, PT	Obat	Herbisida	Round Up 486 SL		Glifosat		459
="AROUN05"	Round Up Powermax 660 SL 12 X 1 ltr	0	0	12	1	1	1550.83	Btl	NUFAR01	Nufarm Indonesia, PT	Obat	Herbisida	Round Up Powermax 660 SL		Glifosat		2023
="AROUN07"	Round Up 486 SL 12 X 1 ltr	0	0	12	1	1	1318	Btl			No Group	No Group	No Group	Round Up 486 SL			8393
="AROUN08"	Round Up 486 SL 50 X 200 ml	0	0	50	1	1	270	Btl			No Group	No Group	No Group	Round Up 486 SL			8401
="AROVR01"	Rovral 50 WP 120 X 100 gr	0	0	120	1	1	127.5	Pack	BINAG01	Bina Guna Kimia, PT	Obat	Herbisida	Rovral 50 WP		Iprodion		2280
="ARUBO01"	Rubost 50 X 100 ml	0	0	50	1	1	1	Btl	AGRON01	Agro Natural Technology, PT	Obat	Bakterisida	Rubost				9292
="ARUMP01"	Rumpas 120 EW 100 X 100 ml	0	0	100	1	1	136.3	Btl	BAYER01	Bayer Indonesia, PT	Obat	Herbisida	No Group		Fenoksaprop Etil		2281
="ARUNN01"	Runner 100 EC 24 X 250 ml	0	0	24	1	1	141	Btl	DOWAG01	Dow Agro Sciences Ind, PT	Obat	Insektisida	No Group				460
="ARUNN02"	Runner 100 EC 50 X 100 ml	0	0	50	1	1	141	Btl	DOWAG01	Dow Agro Sciences Ind, PT	Obat	Insektisida	No Group				2282
="ASAAF01"	Saaf 75 WP 20 X 400 gr	0	0	20	1	1	542.5	Pack	CATUR01	Catur Agrodaya Mandiri, PT	Obat	Fungisida	Saaf 75 WP		Mankozeb & Karbendazim		2024
="ASAAF02"	Saaf 75 WP 50 X 100 gr	0	0	50	1	1	145.2	Pack	CATUR01	Catur Agrodaya Mandiri, PT	Obat	Fungisida	Saaf 75 WP		Mankozeb & Karbendazim		461
="ASAAF03"	Saaf 75 WP 100 X 100 gr	0	0	100	1	1	1	Pack	CATUR01	Catur Agrodaya Mandiri, PT	Obat	Insektisida	Saaf 75 WP		Mankozeb & Karbendazim		4928
="ASABE01"	Saber 45 WP 20 X 400 ml	0	0	20	1	1	0	Btl	NUFAR01	Nufarm Indonesia, PT	Obat	Herbisida	No Group				2283
="ASAGR01"	Sagri-Pas 100 X 100 ml	0	0	100	1	1	0	Btl	SATYA01	Satya Agro Indonesia, PT	Obat	Insektisida	No Group				2284
="ASAGR04"	Sagri-Storm 100/400/50 SC 40 X 250 ml*	0	0	40	1	1	415	Btl	SATYA01	Satya Agro Indonesia, PT	No Group	No Group	No Group	Sagri-Storm 100/400/50 SC	Nicosulfuron + Atrazine + Carfentrazone ethyl	C	6866
="ASAGR05"	Sagri-Meth 77 SP 25 X 400 gr*	125	0	25	1	1	448	Pcs	SATYA01	Satya Agro Indonesia, PT	No Group	No Group	No Group	Sagri-Meth 77 SP	Methomyl	C	7189
