tgl_transaksi,kd_faktur_lpb,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
1/11/2025,25000754B,"Cabe Imperial Ijo F1 20 X 12 X 2250 biji",1/4/2027,460,1152016801,01/11/2025,1
1/11/2025,25000754B,"Buncis Lebat-3 40 X 500 gr",18/4/2027,420,1152016801,01/11/2025,1
1/11/2025,25000755B,"Jagung Manis Golden Boy F1 20 X +/-3600 biji",1/7/2026,2000,1152016802,01/11/2025,1
1/11/2025,25000755B,"Jagung Manis Golden Boy F1 40 X +/-1800 biji",1/6/2026,400,1152016802,01/11/2025,1
1/11/2025,25000755B,"Jagung Manis Sweet Lady 27 F1 20 X +/-3600 biji",1/7/2026,420,1152016802,01/11/2025,1
1/11/2025,25000755B,"Jagung Manis Sweet Lady 27 F1 40 X 1800 biji",1/7/2026,400,1152016802,01/11/2025,1
1/11/2025,25000755B,"Jagung Manis Sweet Lady 27 F1 20 X +/-3600 biji",1/7/2026,580,1152016802,01/11/2025,1
1/11/2025,25000756B,"Tomat Comodor F1 20 X 20 X 1750 biji",1/4/2027,400,1152016803,01/11/2025,1
1/11/2025,25000757B,"Jagung NK 7328 20 X 1 kg",5/10/2026,1700,850774015,01/11/2025,1
1/11/2025,25000757B,"Jagung NK 7328 20 X 1 kg",15/10/2026,13620,850774015,01/11/2025,1
1/11/2025,25000757B,"Jagung NK 7328 20 X 1 kg",16/10/2026,120,850774015,01/11/2025,1
1/11/2025,25000757B,"Jagung NK 7328 20 X 1 kg",16/10/2026,560,850774015,01/11/2025,1
1/11/2025,25000758B,"Padi Janger Logawa 4 X 5 kg*",14/4/2026,508,A2500025,01/11/2025,1
1/11/2025,25002141,"Wokozim 20 X 500 ml",1/1/2030,860,25-00028614,01/11/2025,1
1/11/2025,25002141,"Wokozim 20 X 500 ml",1/4/2030,160,25-00028614,01/11/2025,1
1/11/2025,25002141,"Wokozim 20 X 250 ml",1/4/2030,360,25-00028614,01/11/2025,1
1/11/2025,25002141,"Wokozim 20 X 250 ml",1/6/2030,660,25-00028614,01/11/2025,1
1/11/2025,25002141,"Kamikaze 20 X 250 ml",1/6/2030,260,25-00028614,01/11/2025,1
1/11/2025,25002141,"Kamikaze 20 X 250 ml",1/7/2030,60,25-00028614,01/11/2025,1
1/11/2025,25002142,"Topjos 300 SL 4 X 5 ltr (Coklat) + 5 pack Metsul 5 gr",1/10/2030,100,"DO/0001/1025/0945 SHIP TO KALSEL",01/11/2025,1
1/11/2025,25002143,"Bablass 490 SL 20 X 1 ltr + 1 pack Metsul 5 gr",1/10/2030,1600,"DO/0001/1025/0946 SHIP TO KALSEL",01/11/2025,1
1/11/2025,25002143,"Bablass 490 SL 20 X 1 ltr + 1 pack Metsul 5 gr",1/10/2030,400,"DO/0001/1025/0946 SHIP TO KALSEL",01/11/2025,1
1/11/2025,25002143,"Bablass 490 SL 20 X 1 ltr + 1 pack Metsul 5 gr",1/10/2030,1200,"DO/0001/1025/0946 SHIP TO KALSEL",01/11/2025,1
1/11/2025,25002143,"Bablass 490 SL 20 X 1 ltr + 1 pack Metsul 5 gr",1/10/2030,800,"DO/0001/1025/0946 SHIP TO KALSEL",01/11/2025,1
1/11/2025,25002144,"Round Up 486 SL 4 X 4 ltr",1/10/2030,1220,25/26-000249-03,01/11/2025,1
1/11/2025,25002145,"Pupuk Fosfat 50 kg MPS*",1/9/2027,200,005/SJ-MPS/BGH/X/2025,01/11/2025,1
1/11/2025,25002146,"EM-4 Tambak (LM) 15 X 1 ltr",1/11/2027,7725,SJ,01/11/2025,1
