tgl_inputer,kd_faktur,kd_rute,salesman,kd_customer,kd_barang,nama_barang,qty,satuan,no_lot,tgl_exp,nominal_p,jtempo,upload_sts,data_sts,barang_sts
30/1/2026,C26000084,"B Agronomis","Customer Service",KARI09,QQIUV15,"Qiuvita Merah 16.11.32 100 X 100 gr (Sample)",15,Pack,01082018416,1/3/2024,1278499.9999982,0,1,1,1
30/1/2026,C26000084,"B Agronomis","Customer Service",KARI09,QPAKE16,"Paket Ulat 20 X 1 paket",5,Paket,0,1/8/2027,1278499.9999982,0,1,1,1
30/1/2026,C26000084,"B Agronomis","Customer Service",KARI09,QQIUV16,"Qiuvita Hijau 32.11.11 100 X 100 gr (Sample)",15,Pack,510112021,1/10/2024,1278499.9999982,0,1,1,1
30/1/2026,C26000084,"B Agronomis","Customer Service",KARI09,QQIUV11,"Qiuvita Biru 16.32.16 100 X 100 gr (Sample)",15,Pcs,511112020,1/7/2023,1278499.9999982,0,1,1,1
30/1/2026,C26000085,"B Agronomis","Customer Service",KARI09,QMRQL02,"Mr. Qlett 50 X 50 ml*",5,Btl,17103407,1/2/2028,323000.00000901,0,1,1,1
30/1/2026,C26000085,"B Agronomis","Customer Service",KARI09,QMRQL02,"Mr. Qlett 50 X 50 ml*",5,Btl,25133301,1/10/2027,323000.00000901,0,1,1,1
30/1/2026,C26000086,JUT,"Customer Service",NNFI01,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",1,Pack,20938203,3/11/2026,133000,0,1,1,1
30/1/2026,C26000087,JUT,"Customer Service",NNBU01,QBRAP01,"Braphon 488 SL 50 X 100 ml*",1,Btl,050925,1/8/2030,25999.999976577,0,1,1,1
30/1/2026,C26000088,SBY,Ariyani,FARM02,QDELL03,"Dellacid 525 EC 20 x 1 ltr*",2,Btl,23030918,1/2/2028,790999.99998739,0,1,1,1
30/1/2026,C26000088,SBY,Ariyani,FARM02,QTOPB02,"Topbas 400 SC 25 X 100 ml*",5,Btl,604250905007,1/9/2030,790999.99998739,0,1,1,1
30/1/2026,C26000089,SBY,"Customer Service",FIRM04,QLOYA01,"Loyant 25 EC 20 X 500 ml",40,Btl,25K2977801,1/11/2028,13999999.999987,0,1,1,1
30/1/2026,D26001656,LMJ,Ariyani,SUBU05,QBENA01,"Benang Pe mlg*",125,Kg,0,1/1/1000,10795250.00005,30,1,1,1
30/1/2026,D26001656,LMJ,Ariyani,SUBU05,QMULS21,"Mulsa Karisma 60 cm / 20 kg (Roll)",10,Roll,0,1/1/1000,10795250.00005,30,1,1,1
30/1/2026,D26001657,LMJ,Ariyani,SUBU05,QTOMA32,"Tomat Comodor F1 20 X 20 X 1750 biji",20,Pack,250312AF01,1/4/2027,3260000,30,1,1,1
30/1/2026,D26001658,LMJ,Ariyani,CENT04,QTALI06,"Tali Gawar 989 40 X 600 gr*",40,Slop,0,1/1/1000,4855000.0000261,60,1,1,1
