tgl_transaksi,kd_faktur_lpb,kd_barang,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
30/1/2026,26000183,QTHRO02,"Throne 250 EC 20 X 250 ml",1/1/2030,1040,SH02A-260100046,30/01/2026,1
30/1/2026,26000183,QTHRO02,"Throne 250 EC 20 X 250 ml",1/9/2029,20,SH02A-260100046,30/01/2026,1
30/1/2026,26000184,QTHRO03,"Throne 250 EC 20 X 500 ml",1/1/2030,609,SH02A-260100054,30/01/2026,1
30/1/2026,26000185,QROUN04,"Round Up 486 SL 50 X 200 ml",1/1/2031,30000,25/26-000778-03,30/01/2026,1
30/1/2026,26000186,QROUN04,"Round Up 486 SL 50 X 200 ml",1/1/2031,30000,25/26-000777-03,30/01/2026,1
30/1/2026,26000187,QLOYA01,"Loyant 25 EC 20 X 500 ml",1/11/2028,4120,ID01CVASA65FJ2F,30/01/2026,1
30/1/2026,26000188,QGIBG04,"Gibgro 20 T 25 X 10 X 5 gr",1/1/2031,30100,"25/26 001829 -02",30/01/2026,1
30/1/2026,26000189,QNPKN07,"NPK Novatec 12-12-17 5 X 5 kg*",1/2/2030,400,802009790,30/01/2026,1
